Indicadores de producto PATR;Indicadores de producto Plan indicativo
Porcentaje de familias vinculadas al PNIS, con acuerdo de sustitución y no resiembra cumplido, con servicio de apoyo financiero para asistencia alimentaria entregado;#N/D
Porcentaje de familias vinculadas al PNIS, con acuerdo de sustitución y no resiembra cumplido, que cuenten con servicio de apoyo financiero para proyectos de autosostenimiento y seguridad alimentaria;#N/D
Porcentaje de familias vinculadas al PNIS, con acuerdo de sustitución y no resiembra cumplido, que cuenten con servicio de apoyo financiero para proyectos de ciclo corto e ingreso rápido;#N/D
Porcentaje de formulación de la política pública de sitios sagrados y sus instrumentos reglamentarios con la participación plena y efectiva de los pueblos y organizaciones indígenas, a través de las instancias correspondientes ?;#N/D
Porcentaje de hectáreas con seguro de cosecha subsidiado para la producción de la economía campesina, familiar y comunitaria en municipios PDET;#N/D
Porcentaje de hectáreas del Fondo de Tierras entregadas formalmente a los pueblos y comunidades NARP para la titulación colectiva;#N/D
Porcentaje de hectáreas del Fondo de Tierras entregadas para la constitución, ampliación y saneamiento de los resguardos de los pueblos indígenas;#N/D
Porcentaje de hectáreas priorizadas afectadas por cultivos de uso ilícito, en proceso de restauración;#N/D
Porcentaje de hogares en los que la producción de todos o la mayoría de sus alimentos se hace en su municipio;#N/D
Porcentaje de iniciativas comunitarias de los pueblos indígenas para la prevención del reclutamiento, uso, utilización y violencia sexual de niños, niñas y adolescentes indígenas, concertadas entre la CIPRUNNA, la CNMI y la CDDHHPI implementadas;#N/D
Porcentaje de kilómetros de vías priorizadas construidos o en mantenimiento;#N/D
Porcentaje de los modelos y/o formas de cuidado de la salud en implementación;#N/D
Porcentaje de mujeres víctimas de violencias de género con atención en salud física y mental por sospecha de violencia física, psicológica y sexual;#N/D
Porcentaje de municipios con planes de retorno y reubicación con medidas de seguridad implementadas;#N/D
Porcentaje de municipios PDET con planes (municipales o regionales) de seguridad alimentaria y nutricional elaborados y/o reformulados;#N/D
Porcentaje de Municipios PDET que participan en las Estrategias de Información, Educación y Comunicación en Educación Alimentaria y Nutricional;#N/D
Porcentaje de organizaciones solidarias de mujeres fortalecidas en capacidades productivas y administrativas;#N/D
Porcentaje de participación de mujeres rurales dentro de las operaciones de crédito agropecuario y rural;#N/D
Porcentaje de personas que manifiesta haber participado activamente en algún espacio, organización o instancia de participación en el territorio durante los últimos 12 meses;#N/D
Porcentaje de personas que perciben la existencia de espacios de participación accesibles para las mujeres;#N/D
Porcentaje de personas que perciben tener acceso a actividades para uso y aprovechamiento del tiempo libre;#N/D
Porcentaje de planes de retorno o reubicación concertados e implementados de manera efectiva en condiciones de dignidad, voluntariedad y seguridad;#N/D
Porcentaje de planes especiales de salvaguardia para la protección urgente de los derechos lingüísticos de los pueblos idígenas en contacto inicial desarrollados e implementados;#N/D
Porcentaje de programas ETDH certificados en calidad;#N/D
Porcentaje de proyectos de desarrollo agropecuario y rural identificados que requieren infraestructura de riego y drenaje, construidos o rehabilitados, en municipios PDET;#N/D
Porcentaje de proyectos de investigación;#N/D
Porcentaje de proyectos ejecutados enfocados en escenarios construidos, mejorados o adecuados en departamentos priorizados negros, afrocolombianos, raizales y palenqueros;#N/D
Porcentaje de proyectos pedagógicos que incluye;#N/D
Porcentaje de resguardos indígenas constituidos, ampliados y saneados, y títulos colectivos expedidos;#N/D
Porcentaje de sedes educativas oficiales en zonas rurales con dotación gratuita de material pedagógico (útiles y textos) pertinente;#N/D
Porcentaje de solicitudes aprobadas para la construcción o rehabilitación de plazas de mercado o galerías municipales en municipios PDET;#N/D
Porcentaje de territorios con plan de seguridad alimentaria y nutricional elaborado y/o actualizado;#N/D
Porcentaje de unidades productivas de mujeres indígenas fortalecidas;#N/D
Porcentaje UPA con acceso a maquinaria;#N/D
Predios del país con catastro multipropósito formado y/o actualizado total o parcialmente;#N/D
